dimension,num_prod,run,iters_to_NE,NE,converged
5,10,0,8,[ 0.  0.  0.  0. 10.],True
5,10,1,9,[ 0.  0.  0.  0. 10.],True
5,10,2,7,[ 0.  0.  0.  0. 10.],True
5,10,3,8,[ 0.  0.  0.  0. 10.],True
5,10,4,9,[ 0.  0.  0.  0. 10.],True
5,10,5,10,[ 0.  0.  0.  0. 10.],True
5,10,6,9,[ 0.  0.  0.  0. 10.],True
5,10,7,10,[ 0.  0.  0.  0. 10.],True
5,10,8,5,[ 0.  0.  0.  0. 10.],True
5,10,9,6,[ 0.  0.  0.  0. 10.],True
5,10,10,7,[ 0.  0.  0.  0. 10.],True
5,10,11,9,[ 0.  0.  0.  0. 10.],True
5,10,12,8,[ 0.  0.  0.  0. 10.],True
5,10,13,10,[ 0.  0.  0.  0. 10.],True
5,10,14,8,[ 0.  0.  0.  0. 10.],True
5,10,15,9,[ 0.  0.  0.  0. 10.],True
5,10,16,8,[ 0.  0.  0.  0. 10.],True
5,10,17,9,[ 0.  0.  0.  0. 10.],True
5,10,18,8,[ 0.  0.  0.  0. 10.],True
5,10,19,8,[ 0.  0.  0.  0. 10.],True
5,10,20,9,[ 0.  0.  0.  0. 10.],True
5,10,21,6,[ 0.  0.  0.  0. 10.],True
5,10,22,10,[ 0.  0.  0.  0. 10.],True
5,10,23,7,[ 0.  0.  0.  0. 10.],True
5,10,24,9,[ 0.  0.  0.  0. 10.],True
5,10,25,8,[ 0.  0.  0.  0. 10.],True
5,10,26,7,[ 0.  0.  0.  0. 10.],True
5,10,27,8,[ 0.  0.  0.  0. 10.],True
5,10,28,9,[ 0.  0.  0.  0. 10.],True
5,10,29,7,[ 0.  0.  0.  0. 10.],True
5,10,30,7,[ 0.  0.  0.  0. 10.],True
5,10,31,9,[ 0.  0.  0.  0. 10.],True
5,10,32,7,[ 0.  0.  0.  0. 10.],True
5,10,33,7,[ 0.  0.  0.  0. 10.],True
