dimension,num_prod,run,iters_to_NE,NE,converged
5,10,0,2,[1. 2. 2. 2. 3.],True
5,10,1,4,[1. 2. 2. 2. 3.],True
5,10,2,4,[1. 2. 2. 2. 3.],True
5,10,3,5,[1. 2. 2. 2. 3.],True
5,10,4,5,[1. 2. 2. 2. 3.],True
5,10,5,5,[1. 2. 2. 2. 3.],True
5,10,6,1,[1. 2. 2. 2. 3.],True
5,10,7,3,[1. 2. 2. 2. 3.],True
5,10,8,2,[1. 2. 2. 2. 3.],True
5,10,9,4,[1. 2. 2. 2. 3.],True
5,10,10,4,[1. 2. 2. 2. 3.],True
5,10,11,3,[1. 2. 2. 2. 3.],True
5,10,12,1,[1. 2. 2. 2. 3.],True
5,10,13,2,[1. 2. 2. 2. 3.],True
5,10,14,7,[1. 2. 2. 2. 3.],True
5,10,15,1,[1. 2. 2. 2. 3.],True
5,10,16,3,[1. 2. 2. 2. 3.],True
5,10,17,5,[1. 2. 2. 2. 3.],True
5,10,18,3,[1. 2. 2. 2. 3.],True
5,10,19,4,[1. 2. 2. 2. 3.],True
5,10,20,4,[1. 2. 2. 2. 3.],True
5,10,21,3,[1. 2. 2. 2. 3.],True
5,10,22,3,[1. 2. 2. 2. 3.],True
5,10,23,2,[1. 2. 2. 2. 3.],True
5,10,24,3,[1. 2. 2. 2. 3.],True
5,10,25,5,[1. 2. 2. 2. 3.],True
5,10,26,3,[1. 2. 2. 2. 3.],True
5,10,27,2,[1. 2. 2. 2. 3.],True
5,10,28,5,[1. 2. 2. 2. 3.],True
5,10,29,2,[1. 2. 2. 2. 3.],True
5,10,30,4,[1. 2. 2. 2. 3.],True
5,10,31,3,[1. 2. 2. 2. 3.],True
5,10,32,4,[1. 2. 2. 2. 3.],True
5,10,33,2,[1. 2. 2. 2. 3.],True
5,10,34,4,[1. 2. 2. 2. 3.],True
5,10,35,3,[1. 2. 2. 2. 3.],True
5,10,36,4,[1. 2. 2. 2. 3.],True
5,10,37,3,[1. 2. 2. 2. 3.],True
5,10,38,2,[1. 2. 2. 2. 3.],True
5,10,39,4,[1. 2. 2. 2. 3.],True
5,20,0,5,[3. 4. 3. 4. 6.],True
5,20,1,1,[3. 4. 3. 4. 6.],True
5,20,2,5,[3. 4. 3. 4. 6.],True
5,20,3,3,[3. 4. 3. 4. 6.],True
5,20,4,6,[3. 4. 3. 4. 6.],True
5,20,5,4,[3. 4. 3. 4. 6.],True
5,20,6,5,[3. 4. 3. 4. 6.],True
5,20,7,5,[3. 4. 3. 4. 6.],True
5,20,8,3,[3. 4. 3. 4. 6.],True
5,20,9,7,[3. 4. 3. 4. 6.],True
5,20,10,7,[3. 4. 3. 4. 6.],True
5,20,11,6,[3. 4. 3. 4. 6.],True
5,20,12,3,[3. 4. 3. 4. 6.],True
5,20,13,3,[3. 4. 3. 4. 6.],True
5,20,14,4,[3. 4. 3. 4. 6.],True
5,20,15,5,[3. 4. 3. 4. 6.],True
5,20,16,4,[3. 4. 3. 4. 6.],True
5,20,17,5,[3. 4. 3. 4. 6.],True
5,20,18,5,[3. 4. 3. 4. 6.],True
5,20,19,5,[3. 4. 3. 4. 6.],True
5,20,20,4,[3. 4. 3. 4. 6.],True
5,20,21,5,[3. 4. 3. 4. 6.],True
5,20,22,6,[3. 4. 3. 4. 6.],True
5,20,23,2,[3. 4. 3. 4. 6.],True
5,20,24,4,[3. 4. 3. 4. 6.],True
5,20,25,5,[3. 4. 3. 4. 6.],True
5,20,26,4,[3. 4. 3. 4. 6.],True
5,20,27,5,[3. 4. 3. 4. 6.],True
5,20,28,7,[3. 4. 3. 4. 6.],True
5,20,29,7,[3. 4. 3. 4. 6.],True
5,20,30,6,[3. 4. 3. 4. 6.],True
5,20,31,4,[3. 4. 3. 4. 6.],True
5,20,32,6,[3. 4. 3. 4. 6.],True
5,20,33,5,[3. 4. 3. 4. 6.],True
5,20,34,5,[3. 4. 3. 4. 6.],True
5,20,35,4,[3. 4. 3. 4. 6.],True
5,20,36,3,[3. 4. 3. 4. 6.],True
5,20,37,7,[3. 4. 3. 4. 6.],True
5,20,38,8,[3. 4. 3. 4. 6.],True
5,20,39,6,[3. 4. 3. 4. 6.],True
5,30,0,5,[4. 7. 4. 6. 9.],True
5,30,1,11,[4. 7. 4. 6. 9.],True
5,30,2,4,[4. 7. 4. 6. 9.],True
